Mã học phần 	Tên học phần	Tín chỉ
MT209	Biến đổi khí hậu và ứng phó	2
MT210	Phục hồi sinh thái	2
MT217	Định giá giá trị dịch vụ hệ sinh thái rừng	2
MT220	Quản lý nhà nước về đất đai	2
MT221	Quy hoạch phát triển vùng và đô thị	2
MT222ET	Phát triển bền vững tài nguyên đất đai	2
MT225	Kỹ năng chuyên ngành	2
MT228	Quản lý và giảm nhẹ thiên tai	2
MT231	Phân tích sinh kế trong thay đổi sử dụng đất	2
MT231E	Phân tích sinh kế trong thay đổi sử dụng đất	2
MT232	Kỹ thuật xử lý ô nhiễm không khí và tiếng ồn	3
MT233	Quản lý và xử lý chất thải rắn	3
MT238E	Thiết kế bền vững	2
MT239	Chuyển hóa và lan truyền ô nhiễm	2
MT240	Phương pháp điều tra thông tin tài nguyên đất đai	2
MT244	TT. Xử lý nước cấp và nước thải	2
MT245T	An toàn, sức khỏe và môi trường	2
MT246	Cơ sở biến đổi khí hậu	2
MT246T	Cơ sở Biến đổi khí hậu	2
MT247	Cơ sở môi trường đất	2
MT248	Công nghệ sinh học trong môi trường	2
MT251	Công nghệ sinh thái	2
MT252	Sinh thái đô thị	2
MT254	Vệ sinh môi trường	2
MT255	Cơ chế phát triển sạch	2
MT261E	Chiến lược phát triển tài nguyên đất đai	2
MT262E	Quản lý tổng hợp tài nguyên đất đai	2
MT263	Xử lý số liệu đo đạc	2
MT264	Quản lý công trình xây dựng đô thị	2
MT265E	Phân tích và Thiết kế HTTT địa chính	2
MT276E	Luật Tài nguyên nước	2
MT286E	Kiểm soát ô nhiễm nguồn nước	2
MT294E	Quản lý tổng hợp nguồn nước	2
MT300	Hóa học môi trường không khí	2
MT301	Sinh thái môi trường ứng dụng	2
MT303E	Sinh vật chỉ thị môi trường	2
MT308E	Quản lý và đánh giá tác động môi trường	2
MT309E	Quản lý chất lượng môi trường	2
MT311	Quản lý môi trường	2
MT312	Bảo tồn đa dạng sinh học	2
MT312E	Bảo tồn đa dạng sinh học	2
MT316	Quản lý môi trường và tài nguyên biển	2
MT317	Quản lý hệ thống thủy lợi và môi trường	2
MT319E	Phát triển bền vững	2
MT319ET	Phát triển bền vững	2
MT323E	Quản lý môi trường đô thị và khu công nghiệp	2
MT324	Quản lý đất ngập nước	2
MT328	Đánh giá chất lượng đất, nước, không khí	2
MT330	Ô nhiễm đất và kỹ thuật phục hồi	2
MT330T	Ô nhiễm đất và kỹ thuật phục hồi	2
MT332T	Xã hội và môi trường	2
MT334	Quản lý tài nguyên trên cơ sở phát triển cộng đồng	2
MT340E	Quản lý tài nguyên nước	2
MT342	Đánh giá tác động môi trường	2
MT342E	Đánh giá tác động môi trường	2
MT346	Quản lý và xử lý chất thải độc hại	2
MT346T	Quản lý và xử lý chất thải độc hại	2
MT347	Kỹ thuật xử lý nước thải	3
MT350	Quản lý và xử lý chất thải rắn	2
MT353	Công trình xử lý môi trường	2
MT357	Công nghệ sạch	2
MT357T	Công nghệ sạch	2
MT358	Quy hoạch môi trường	2
MT360E	Quản lý kỹ thuật	2
MT361	Quản lý và tái sử dụng chất thải hữu cơ	2
MT361E	Quản lý và tái sử dụng chất thải hữu cơ	2
MT362	Ứng dụng GIS trong quản lý môi trường	2
MT365	Quản lý và vận hành công trình xử lý môi trường	2
MT366E	Quản lý môi trường nông nghiệp	2
MT367	Phương pháp xử lý nước thải	3
MT372	Tài nguyên và môi trường lưu vực sông Mekong	2
MT373	Kiểm soát ô nhiễm không khí và tiếng ồn	2
MT374	Kiểm toán môi trường	2
MT374E	Kiểm toán môi trường	2
MT384E	Kinh tế chất thải	2
MT384ET	Kinh tế chất thải	2
MT390	Đồ án xử lý ô nhiễm không khí	2
MT391	Đồ án xử lý nước cấp và nước thải	2
MT392	Đồ án quản lý và xử lý chất thải rắn	2
MT393	Đồ án công trình xử lý môi trường	2
MT401	Báo cáo chuyên đề - KHMT	2
MT404E	Báo cáo chuyên đề - QLĐĐ	2
MT405	Báo cáo chuyên đề - QLMT	2
MT406	Kỹ thuật và ứng dụng UAV	2
MT408	Niên luận Tài nguyên và Môi trường	2
MT409E	Ô nhiễm và kiểm soát ô nhiễm	2
MT411E	Quản lý và kiểm soát chất lượng nước	2
MT412E	Công trình trên hệ thống thủy lợi	2
MT415E	Cải tạo hệ thống sông	2
MT418	Phương pháp nghiên cứu khoa học tài nguyên và môi trường	2
MT418E	Phương pháp nghiên cứu khoa học tài nguyên và môi trường	2
MT418T	Phương pháp nghiên cứu khoa học tài nguyên và môi trường	2
MT419	Quy hoạch sử dụng đất	3
MT420	Vật liệu môi trường	2
MT421	Vi sinh môi trường	2
MT422	TT. Vi sinh học Môi trường	2
MT423T	Thủy khí động lực học	2
MT424	Thực tập giáo trình - KTMT	3
MT425	Thực tập ngành nghề - KHMT	2
MT426	Thực tập phân tích và đánh giá chất lượng môi trường đất	2
MT427	Thực tập phân tích và đánh giá chất lượng môi trường nước	2
MT431	TT. Hóa môi trường ứng dụng	2
MT435	TT. Quản lý chất lượng môi trường	2
MT436	TT. Quản lý và xử lý chất thải	2
MT437	TT. Sinh thái học cơ bản	2
MT438	TT. Ứng dụng GIS trong quản lý tài nguyên và môi trường	2
MT439	TT. Giáo trình - KHMT	3
MT441	TT. Giáo trình quản lý tài nguyên và môi trường	3
MT442	Đồ họa chuyên ngành - KTMT	3
MT443	Đồ họa chuyên ngành - KTTNN	3
MT444	Đồ họa chuyên ngành - QLMT	3
MT445	TT. Xử lý chất thải rắn và khí thải	2
MT446	TT. Quan trắc môi trường	2
MT447	TT. Đánh giá tác động môi trường	2
MT448	TT. Công trình xử lý môi trường	2
MT449	TT. Bảo tồn đa dạng sinh học	2
MT451	Tiểu luận tốt nghiệp - KHMT	6
MT452	Tiểu luận tốt nghiệp - KTMT	6
MT453	Tiểu luận tốt nghiệp - QLDD	6
MT454	Tiểu luận tốt nghiệp - QLMT	6
MT457	Thực tập ngành nghề - QLMT	3
MT459	Chuyên đề kỹ thuật tái chế chất thải	3
MT460	Chuyên đề kỹ thuật chế tạo và ứng dụng vật liệu môi trường	3
MT461	Chuyên đề công nghệ sinh học môi trường	3
MT462	Hạ tầng xanh	2
MT463	Xử lý nước cấp	2
MT464	Đồ án xử lý nước cấp	2
MT465	Xử lý nước thải đô thị, công nghiệp, và nông thôn	2
MT466	Đồ án xử lý nước thải đô thị, công nghiệp, và nông thôn	2
MT467	Thi công hệ thống cấp thoát nước	2
MT468	Đồ án thi công hệ thống cấp thoát nước	2
MT469	Vận hành và bảo trì hệ thống cấp thoát nước	2
MT470	Thực tập vận hành và bảo trì hệ thống cấp thoát nước	2
MT471	Quy hoạch và quản lý mạng lưới cấp nước	2
MT472	Đồ án Quy hoạch và quản lý mạng lưới cấp nước	2
MT473	Chuyên đề 1 - Kỹ thuật công nghệ trong QLĐĐ	2
MT474	Công nghệ thông tin trong quản lý hệ thống cấp thoát nước	2
MT475	Công trình thu và trạm bơm	2
MT476	Đồ án công trình thu và trạm bơm	2
MT477	Thực tập ngành nghề cấp thoát nước	2
MT478	Máy thi công	2
MT479	Tự động hóa trong cấp thoát nước	2
MT480	Ứng dụng viễn thám trong quy hoạch quản lý cấp thoát nước	2
MT481	TT. Ứng dụng viễn thám trong quy hoạch quản lý cấp thoát nước	2
MT482	Chuyên đề 2 - Quản lý nhà nước về đất đai	2
MT483	Chuyên đề 3 - Quy hoạch và phát triển bền vững	2
MT484E	Báo cáo chuyên đề - CTN	2
MT485	Phân tích số liệu tài nguyên đất	2
MT486	Tiểu luận tốt nghiệp - CTN	6
MT487	Cấp thoát nước công trình dân dụng và công nghiệp	2
MT488	Đồ án cấp thoát nước công trình dân dụng và công nghiệp	2
MT489E	Dự toán công trình cấp thoát nước	2
MT490	Luận văn tốt nghiệp - CTN	15
MT491	Trắc địa ảnh số	2
MT492	Môi giới bất động sản	2
MT493	Chiến lược đầu tư và quản lý bất động sản	2
MT494E	Công nghệ số trong quản lý đất đai	2
MT495	Hệ thống thông tin bất động sản	3
MT496	Hình họa vẽ kỹ thuật	3
MT497	Bố cục không gian	2
MT498	Kỹ thuật địa tin học	2
MT499	Nguyên lý thiết kế công trình công cộng	2
MT500E	Pháp luật trong quản lý vùng và đô thị	3
MT507	Luận văn tốt nghiệp - KTMT	15
MT508	Luận văn tốt nghiệp - QLDD	15
MT509	Luận văn tốt nghiệp - QLMT	15
MT510	Luận văn tốt nghiệp - KHMT	15
MT511	Luận văn tốt nghiệp - QHV&ĐT	15
MT512E	Môi trường và phát triển bền vững	2
MT513E	Anh văn chuyên ngành quy hoạch	2
MT514	Quy hoạch đô thị	2
MT515	Quy hoạch vùng và điểm dân cư	3
MT516	Quản lý và khai thác phát triển không gian đô thị	2
MT517	Quản lý cơ sở hạ tầng đô thị	2
MT518	Quản lý môi trường đô thị	2
MT519	Kiến trúc cảnh quan	2
MT520	Thiết kế đô thị	3
MT521E	Hệ thống công trình công cộng phục vụ đô thị	2
MT522	Kinh tế vùng và đô thị	2
MT523	Công nghệ không gian	2
MT524	Mô hình hóa trong quy hoạch vùng và đô thị	2
MT525	Đồ án 1: quy hoạch khu chức năng đô thị	2
MT526	Đồ án 2: quy hoạch hạ tầng đô thị	2
MT527	Đồ án 3: quy hoạch tổng hợp	2
MT528	Thực tập rèn nghề - Quy hoạch vùng và đô thị	2
MT529	Thực tập chuyên ngành - Quy hoạch vùng và đô thị	2
MT530	Tin học ứng dụng Quy hoạch vùng và đô thị	2
MT531E	Bảo tồn di sản	2
MT532E	Quy hoạch thích ứng biến đổi khí hậu	2
MT533E	Báo cáo chuyên đề - Quy hoạch vùng và đô thị	2
MT534	Chuyên đề 1: Đô thị thông minh	2
MT535	Chuyên đề 2: Phát triển đô thị bền vững	2
MT536	Chuyên đề 3: Quản lý dự án	2
MT537	Chuyên đề 4. Công trình xanh đô thị	2
MT538	Chuyên đề 5. Quy hoạch tổng thể vùng và đô thị	3
MT539E	Quản lý rủi ro trong quy hoạch và phát triển đô thị	2
MT540E	Quản lý và phát triển có sự tham gia của cộng đồng	2
MT541	Tiểu luận tốt nghiệp - QHV&ĐT	6
MT542	Thực tập ngành nghề - KTMT	3
MT543T	Kỹ thuật sinh thái	2
MT544	Nền móng công trình xử lý môi trường	2
MT545	Quy hoạch tích hợp	2
MT546	Tư vấn đầu tư dự án	3
MT547E	Kỹ năng chuyên ngành quy hoạch vùng và đô thị	2
MT548E	Chính sách và quản lý nhà ở	2
MT549E	Đô thị hóa và phát triển	2
MT550T	Chu trình thủy văn và mô hình ứng dụng	2
MT551	Thủy văn đô thị	2
NN096	Nguồn gốc, phân loại và bản đồ đất	3
NN097	TT. Nguồn gốc, phân loại và bản đồ đất	1
NN098	TT. Hóa lý và phì nhiêu đất	2
NN099T	Thống kê và phương pháp thí nghiệm - NNCNC	2
NN100	Kỹ năng mềm	2
NN101	Chọn giống gia súc	2
NN102	Cơ thể học gia súc	2
NN103E	Di truyền học động vật	2
NN103H	Di truyền và Chọn giống động vật	2
NN104	Dinh dưỡng gia súc	2
NN105	Sinh lý gia súc	3
NN107	Thức ăn gia súc	2
NN109	Vi sinh đại cương - CNTY	2
NN109H	Vi sinh đại cương - CNTY	2
NN110	Dược lý thú y	2
NN111E	Phương pháp nghiên cứu khoa học - Nông nghiệp	2
NN111ET	Phương pháp nghiên cứu khoa học - Nông nghiệp	2
NN112E	Miễn dịch học	2
NN114H	Tin học ứng dụng trong Thú y	2
NN120E	Anh văn chuyên môn - Thú y	2
NN121H	Nhiệt kỹ thuật	2
NN122	Sinh hóa A	3
NN123	Sinh hóa B	2
NN124	TT. Sinh hóa	1
NN125	Nhiệt kỹ thuật	2
NN126E	Di truyền học đại cương	2
NN127	TT. Di truyền học đại cương	1
NN128T	Sinh lý thực vật A	3
NN129	Sinh lý thực vật B	2
NN129T	Sinh lý thực vật B	2
NN130	TT. Sinh lý thực vật	1
NN131	Thổ nhưỡng B	2
NN134E	Anh văn chuyên môn - KHCT	2
NN136	Sinh lý và cơ thể gia súc	2
NN138	Hóa bảo vệ thực vật A	3
NN140	Trồng trọt đại cương	2
NN141H	Giải phẫu bệnh lý	2
NN142	Anh văn chuyên môn hoa viên và cây cảnh	2
NN143	Hóa bảo vệ thực vật B	2
NN144	Hóa học thực phẩm	2
NN145	Thực tập hóa học thực phẩm	1
NN151	Phụ gia trong chế biến thực phẩm	2
NN152	Vật lý học thực phẩm	2
NN152T	Vật lý học thực phẩm	2
NN153	Thống kê phép thí nghiệm - CNTP	2
NN155	Hình họa và vẽ kỹ thuật	2
NN155E	Hình họa và Vẽ kỹ thuật	2
NN157E	Tin học ứng dụng - CNTP	2
NN158E	Anh văn chuyên ngành - CNTP	2
NN164	Đồ án Kỹ thuật thực phẩm	2
NN165ET	Phương pháp nghiên cứu khoa học - CNTP	2
NN166	An toàn và ô nhiễm trong sản xuất thực phẩm	2
NN167	Nước cấp, nước thải kỹ nghệ	2
NN169T	Xác suất thống kê và phép thí nghiệm - TT&NH	3
NN172H	Xác suất thống kê và Phép thí nghiệm - CNTY	2
NN173	Dược lý thú y	3
NN173H	Dược lý thú y	3
NN174	Sinh lý bệnh Thú y	2
NN174H	Sinh lý bệnh Thú y	2
NN175	Trắc địa đại cương	2
NN176	Quản lý và khai thác tài nguyên đất đai	2
NN180	Nguyên lý bảo quản và chế biến thực phẩm	2
NN184	Xác suất thống kê và phép thí nghiệm - KHCT	3
NN184T	Xác suất thống kê và phép thí nghiệm - KHCT	3
NN185	Dinh dưỡng cây trồng	3
NN186	Cây lúa	3
NN193	Kỹ thuật Bonsai	2
NN195	Thực tập giáo trình - KHCT	2
NN200	Sinh thái đất	2
NN206	TT. Kỹ thuật thực phẩm (nhà máy)	2
NN207	Dinh dưỡng người	2
NN208E	Máy chế biến thực phẩm	2
NN213	TT. Công nghệ thực phẩm (nhà máy)	3
NN214	TT. Công nghệ thực phẩm (PTN)	3
NN225E	Công nghệ thực phẩm truyền thống	2
NN226T	Bao bì thực phẩm	2
NN230	Thổ nhưỡng A	3
NN232	Phì nhiêu đất	2
NN245	Hệ thống thông tin địa lý - GIS	2
NN255	Quy hoạch và phát triển nông thôn	2
NN257E	Lưu trữ và quản lý hồ sơ địa chính	2
NN259	Phân hạng và định giá đất	2
NN261	TT. Chuyên ngành - QLĐĐ	2
NN262	Kiểm kê và chỉnh lý biến động đất đai	2
NN278	Hoá lý đất	2
NN286E	Nông nghiệp sạch và bền vững	2
NN288	Viễn thám đại cương	2
NN297	Hệ quản trị cơ sở dữ liệu địa chính	2
NN298	Viễn thám ứng dụng	2
NN299	Quản lý và phân tích thị trường bất động sản	3
NN301E	Sản khoa và gieo tinh nhân tạo	2
NN303	Dịch tễ học thú y	2
NN303E	Dịch tễ học	2
NN304E	Bệnh dinh dưỡng	2
NN304HT	Bệnh dinh dưỡng động vật	2
NN305	Chăn nuôi gia cầm A	3
NN306	Chăn nuôi gia súc nhai lại A	3
NN307	Chăn nuôi heo A	3
NN308	Chăn nuôi ong	2
NN309E	Quản lý sản xuất chăn nuôi	2
NN310	Chăn nuôi chó, mèo	2
NN311	Bệnh ký sinh gia súc	2
NN312E	Bệnh truyền nhiễm	2
NN315	Di truyền quần thể - số lượng	2
NN316	Chăn nuôi động vật hoang dã	2
NN317	Nuôi động vật thí nghiệm	2
NN317H	Nuôi động vật thí nghiệm	2
NN318E	Vệ sinh môi trường chăn nuôi	2
NN319	Chăn nuôi thỏ	2
NN320E	Xây dựng chuồng trại	2
NN321	Bệnh chó, mèo	2
NN322E	Kiểm nghiệm sản phẩm động vật	2
NN323	Luật Thú y	2
NN324	Vệ sinh thú y	2
NN324H	Vệ sinh Thú y	2
NN325	Hệ thống chăn nuôi	2
NN326E	Khuyến nông	2
NN336	Chăn nuôi dê	2
NN337	Chăn nuôi gia cầm B	2
NN337H	Chăn nuôi gia cầm	2
NN338	Chăn nuôi gia súc nhai lại B	2
NN338H	Chăn nuôi gia súc nhai lại	2
NN339	Chăn nuôi heo B	2
NN339H	Chăn nuôi heo	2
NN341HT	Độc chất học Thú y	2
NN341T	Độc chất học thú y	2
NN346	Thụ tinh nhân tạo	2
NN353	Dinh dưỡng và thức ăn gia súc	2
NN358ET	Bảo quản sau thu hoạch	2
NN359	Bệnh cây trồng	2
NN361	Cây ăn trái	2
NN362	Cây công nghiệp dài ngày	2
NN363E	Cây công nghiệp ngắn ngày	2
NN368E	Kiểm định hạt giống	2
NN369	Cây lúa	2
NN370	Cây màu	2
NN371	Cây rau	2
NN372	Cây thức ăn gia súc	2
NN373E	Chọn giống cây trồng	2
NN373ET	Chọn giống cây trồng	2
NN374	Côn trùng nông nghiệp	2
NN375	Công nghệ sinh học trong nông nghiệp	2
NN375E	Công nghệ sinh học trong nông nghiệp	2
NN376	Dinh dưỡng cây trồng	2
NN376T	Dinh dưỡng cây trồng	2
NN377E	Hệ thống canh tác	2
NN378	IPM trong bảo vệ thực vật	2
NN380E	Kỹ thuật sản xuất rau sạch	2
NN382	Nhân giống vô tính	2
NN384	Ô nhiễm đất đai	2
NN388	Sinh l‎ý Stress thực vật	2
NN389E	Sản xuất cây trồng quy mô trang trại	2
NN390E	Thực hành nông nghiệp tốt (GAP)	2
NN401	Xử lý ra hoa	2
NN409	Bệnh cây đại cương	2
NN414	Cỏ dại	2
NN416	Động vật hại trong nông nghiệp	2
NN420	Thực tập giáo trình - BVTV	2
NN425	Ứng dụng GIS và Viễn thám trong BVTV	2
NN427	Phòng trừ sinh học côn trùng	2
NN428E	Vi sinh vật và chuyển hóa vật chất trong đất	2
NN429	Phòng trừ sinh học bệnh cây trồng	2
NN432	Chọn giống cây trồng trong bảo vệ thực vật	2
NN434	Bệnh sau thu hoạch	2
NN438	Côn trùng - HV và CC	2
NN439	Bệnh cây - HV và CC	2
NN442	Sinh học phân tử cây trồng	2
NN444	Cỏ dại và cách phòng trừ	2
NN446	Kiến trúc phong cảnh	2
NN447	Thiết bị và công cụ làm vườn	2
NN448	Quy hoạch, thiết kế và bảo dưỡng cảnh quan	2
NN450	Hệ thống tưới tiêu	2
NN452	Cỏ và cây cảnh đô thị	2
NN453	Nghệ thuật hoa viên	2
NN460	Kỹ thuật trang trí nội thất	2
NN464	Kỹ thuật nhân giống rau hoa quả và quản lý vườn ươm	2
NN473	Quản lý dịch hại rau hoa quả	2
NN477	Cây dược liệu	2
NN483E	Bệnh và côn trùng hại cây rừng	2
NN486	Hệ sinh thái đất ngập nước	2
NN491	Quan hệ đất - nước - cây trồng	2
NN492	Thực hành chăn nuôi tốt (GAHP)	2
NN495E	Công nghệ sinh học vật nuôi	2
NN496E	Quản lý giống vật nuôi	2
NN497	Công nghệ giống vật nuôi	2
NN498E	Công nghệ sinh sản vật nuôi	2
NN499E	Quyền lợi và tập tính học động vật	2
NN507	Đánh giá và phân tích số liệu đất, phân và cây	2
NN508	Đánh giá đất	2
NN513	Công nghệ sinh học trong Bảo vệ thực vật	2
NN514	Sản xuất cây trồng sạch	2
NN515E	Mỹ học ứng dụng	2
NN518	Kỹ thuật trồng hoa và cây cảnh	3
NN521	Phong thủy	2
NN522	Dinh dưỡng hoa và cây cảnh	2
NN529	Phì nhiêu đất B	2
NN529T	Phì nhiêu đất B	2
NN531	Phân hữu cơ vi sinh	2
NN532	Kiểm nghiệm dược thú y	2
NN532H	Kiểm nghiệm dược Thú y	2
NN533E	Dược liệu	2
NN533H	Dược liệu	2
NN536	Công nghệ sinh học thú y	2
NN539	Biến đổi khí hậu và sử dụng đất	2
NN542	Phì nhiêu đất	3
NN546E	Đất Việt Nam và đất thế giới	2
NN547	Dinh dưỡng gia súc	3
NN548	Thực tập giáo trình Nông học	2
NN549E	Phương pháp nghiên cứu khoa học nông nghiệp - CNTY	2
NN565T	Thực tập cơ sở - RHQ&CQ	2
NN566T	Thực tập giáo trình - RHQ&CQ	2
NN567	Kỹ thuật cắm hoa và trình bày mâm trái cây	2
NN570E	Tiểu luận tốt nghiệp - Thú y	6
NN570H	Tiểu luận tốt nghiệp - Thú y	6
NN572	Luận văn tốt nghiệp - Thú y	15
NN572H	Luận văn tốt nghiệp - Thú y	15
NS096	Chọn giống động vật	2
NS097	Cơ thể học động vật	2
NS098	Côn trùng đại cương	2
NS099	TT. Côn trùng và bệnh cây đại cương	2
NS100	Thực tập nhận thức ngành nghề (ngoài trường)	1
NS102	Cây hoa kiểng	2
NS109	Cơ học lưu chất và vật liệu rời	2
NS112	Tổng kê vật chất và năng lượng	2
NS113	Thực tập kỹ thuật thực phẩm (PTN)	2
NS114	Kỹ thuật các quá trình sinh học trong chế biến thực phẩm	2
NS117	Chẩn đoán lâm sàng	2
NS117H	Chẩn đoán lâm sàng	2
NS119	Miễn dịch học	3
NS120	Kiểm nghiệm sản phẩm động vật	3
NS120H	Kiểm nghiệm sản phẩm động vật	2
NS121	Hoá sinh động vật	3
NS121H	Hóa sinh động vật	3
NS122	Sinh lý cây trồng trong điều kiện bất lợi	2
NS122T	Sinh lý cây trồng trong điều kiện bất lợi	2
NS123H	Tổng kê vật chất và năng lượng	2
NS124H	Hóa học thực phẩm	3
NS125H	Vi sinh thực phẩm	3
NS126HE	Sinh hoạt học thuật 1	1
NS127H	Thiết kế thí nghiệm	2
NS128H	An toàn và ô nhiễm trong sản xuất thực phẩm	2
NS129H	Các quá trình truyền khối	2
NS130H	Kỹ thuật các quá trình sinh học trong chế biến thực phẩm	2
NS132	Kỹ thuật lò hơi	2
NS133	Cơ học lưu chất và vật liệu rời	2
NS134	Lý thuyết điều khiển tự động trong CNTP	3
NS135T	Mô hình hóa và mô phỏng trong CNTP	2
NS136	Máy và thiết bị chế biến thực phẩm	2
NS137	Đồ án quá trình và thiết bị CNTP	2
NS138	Thực tập thiết bị chế biến thực phẩm (nhà máy)	3
NS140	Kỹ thuật phân tích hiện đại trong CNTP	2
NS141	Nhập môn Ngành Thú y	2
NS141E	Nhập môn ngành Thú y	2
NS142	Truyền nhiệt trong chế biến thực phẩm	2
NS143E	Hình họa và vẽ kỹ thuật - CNTP	3
NS144	Kỹ thuật canh tác cây trồng giảm phát thải	2
NS145E	Chất điều hòa sinh trưởng thực vật ứng dụng trong nông nghiệp	2
NS146	Chăn nuôi Yến	2
NS147	Nhập môn ngành Khoa học cây trồng	2
NS148	Thực tập cơ sở: Quản lý và sản xuất cây trồng	2
NS149	Thực tập cơ sở: Ứng dụng công nghệ cao trong Nông nghiệp	3
NS150T	Nông nghiệp đô thị	2
NS151	Vi sinh vật liên kết thực vật	2
NS152	Kỹ thuật canh tác cây trồng trong nông nghiệp hữu cơ	2
NS153	Ứng dụng công nghệ thông tin và truyền thông trong quản lý và sản xuất nông nghiệp	2
NS154	Canh tác cây thủy sinh	2
NS156	Nhập môn Bảo vệ thực vật	2
NS157E	Sinh thái học trong Bảo vệ thực vật	2
NS158	IPM và IPHM trong bảo vệ thực vật 1	2
NS159	Thực tập cơ sở - BVTV 1	2
NS161E	Kiểm dịch thực vật	2
NS162E	Bệnh hại cây trồng có nguồn gốc từ đất	2
NS163	IPM và IPHM trong bảo vệ thực vật 2	3
NS164E	Nhập môn Công nghệ rau hoa quả và cảnh quan	2
NS165	Hình họa và Vẽ kỹ thuật - CQ	2
NS166	Đồ họa ứng dụng trong thiết kế cảnh quan 1	2
NS167	Đồ họa ứng dụng trong thiết kế cảnh quan 2	2
NS168	Đồ án thiết kế cảnh quan 1	2
NS169	Đồ án thiết kế cảnh quan 2	2
NS170T	Thiết kế và thống kê thí nghiệm - KHĐ	3
NS171	Kiểm nghiệm hàng hóa và nông sản	2
NS172	Sản xuất cây lúa	3
NS173	Hóa sinh ứng dụng trong chăn nuôi	2
NS173H	Cơ thể học động vật	3
NS174	TT. Hóa sinh ứng dụng trong chăn nuôi	1
NS174H	Dinh dưỡng và Thức ăn vật nuôi	3
NS175	Công nghệ thức ăn vật nuôi	3
NS175H	Sinh lý động vật	3
NS176	Miễn dịch và Công nghệ vaccine	3
NS177	TT. Công nghệ thức ăn vật nuôi	1
NS177H	Bệnh học phân tử	2
NS178E	Vi sinh vật ứng dụng trong chăn nuôi	2
NS178H	Nội khoa động vật	3
NS179	Thống kê và xử lý số liệu	3
NS179H	Sản khoa động vật	3
NS180	Ngoại khoa động vật	3
NS181	Thực tập thực tế 1	4
NS182	Thực tập thực tế 2	5
NS183	Thực tập thực tế 3	6
NS184	TT. Thống kê và xử lý số liệu	2
NS184H	Thực hành Thú y 1	3
NS185E	Chuồng trại và thiết bị chăn nuôi	3
NS185H	Thực hành Thú y 2	5
NS186	Thực hành Thú y 3	5
NS187	TT. Chuồng trại và thiết bị chăn nuôi	1
NS187H	Bệnh ký sinh động vật	3
NS188E	Anh văn chuyên ngành Nông nghiệp công nghệ cao	3
NS189	Thực tập cơ sở - NNCNC	5
NS193	Kỹ thuật sấy và bảo quản nông sản thực phẩm	2
NS195	Thực hành nghề nghiệp	4
NS196	Niên luận - CNTY	2
NS197E	Phương pháp nghiên cứu khoa học nông nghiệp - TY	2
NS197H	Phương pháp Nghiên cứu Khoa học - TY	2
NS199	Khía cạnh xã hội của công nghệ sinh học trong nông nghiệp	2
NS200	Kỹ thuật IoTs và ứng dụng	2
NS202HET	Phương pháp nghiên cứu khoa học - CNTP	2
NS205	Sinh học ứng dụng đại cương	2
NS206	Sinh hóa học ứng dụng	2
NS207	TT. Sinh hóa học ứng dụng	1
NS208	Sinh lý học thực vật ứng dụng	2
NS210	Anh văn chuyên môn-SHƯD	2
NS211	Phân bón và khuyến cáo bón phân	2
NS213	Thiết bị thu hoạch và bảo quản nông sản	2
NS215	Dụng cụ và thiết bị đo - CNSTH	2
NS220	Thực tập hoạt động sau thu hoạch (Ngoài trường)	2
NS221	Xử lý và tồn trữ lạnh nông sản	2
NS222	Sinh lý nông sản sau thu hoạch	2
NS223	Công nghệ sau thu hoạch ngũ cốc	2
NS223E	Công nghệ sau thu hoạch nông sản	2
NS224	Công nghệ sau thu hoạch rau quả	2
NS225E	Anh văn chuyên ngành Nông học	2
NS227E	Bảo vệ thực vật trong canh tác hữu cơ	2
NS228E	Bảo vệ thực vật trong nông nghiệp công nghệ cao	2
NS230HT	Bệnh truyền lây giữa động vật và người	2
NS230T	Bệnh truyền lây giữa động vật và người	2
NS238	Côn trùng gây hại sau thu hoạch	2
NS239T	Chuyên đề Công nghệ chế biến và bảo quản rau củ quả	2
NS240E	Công nghệ chế biến thực phẩm đóng hộp	2
NS241	Công nghệ hạt giống	2
NS242	Công nghệ sản xuất phân bón cơ bản	2
NS245E	Công nghệ sinh sản động vật	2
NS245H	Công nghệ sinh sản động vật	2
NS246	Công nghệ sinh thái trong bảo vệ thực vật	2
NS247E	Công tác kỹ sư công nghệ thực phẩm	2
NS248	Đánh giá cảm quan và thị hiếu người tiêu dùng	2
NS249	Đánh giá chất lượng đất	2
NS250	Điện kỹ thuật	2
NS251	Độc chất học thực phẩm	2
NS251E	Độc chất học thực phẩm	2
NS256E	Hóa dược Thú y	2
NS257	Khảo nghiệm và kiểm định phân bón	2
NS258	Kỹ thuật sản xuất cây ăn trái và rau sạch	3
NS259	Kỹ thuật thông gió kho bảo quản	2
NS260E	Luật chăn nuôi - thú y	2
NS262	Mô hình hóa trong sử dụng đất và phân bón	2
NS263E	Mô học động vật	2
NS264E	Nông nghiệp công nghệ cao	2
NS265	Phương pháp chuyển giao công nghệ trong nông nghiệp	2
NS266	Phương pháp đánh giá tác động môi trường trong canh tác cây trồng	2
NS267	Phương pháp thủy canh	2
NS268	Quản lý cây trồng tổng hợp (ICM)	2
NS268E	Quản lý Cây trồng tổng hợp (ICM)	2
NS269	Quản lý chuỗi sản xuất thực phẩm	2
NS270E	Quản lý dịch bệnh trên động vật và Một sức khỏe	2
NS271	Quản lý dịch bệnh trên đàn gia súc và Một sức khỏe	2
